Genus,P_Value,P_Adjusted,Log2FC,Is_Significant
Desulfosporosinus,0.3457182189088019,0.3908635533367554,5.466298388187512,False
Frondihabitans,0.35369971895294977,0.3992013980635351,7.10988800035865,False
ADurb.Bin063-1,0.359934040064068,0.4055421204831451,5.53489595892749,False
Allokutzneria,0.3752040781001918,0.42188493179793457,3.713234608547831,False
Rhodomicrobium,0.3757212310540876,0.42188493179793457,-1.7756092306931597,False
Polycyclovorans,0.37851115881126157,0.4242935988037651,6.970992661709536,False
Nitrosomonas,0.38522784140453237,0.43108829871459575,5.425017413034332,False
Cupriavidus,0.39653089012945597,0.4429835750512428,7.037891811817662,False
Glutamicibacter,0.3993548541759715,0.44538219330133766,11.77696692038103,False
Brevibacterium,0.4105020403874189,0.45687768289930475,6.121446568173466,False
Tahibacter,0.41105104601274833,0.45687768289930475,6.567931231670277,False
Acinetobacter,0.41452211503496056,0.4599587718263138,3.449907717196545,False
Azoarcus,0.43818117520950456,0.4853926149627172,8.333276137853703,False
Yersinia,0.4691073610087707,0.5187775521744052,10.016980482511283,False
Sinibacillus,0.47922211254782365,0.529074077275953,6.564766794148156,False
Leptolyngbya EcFYyyy-00,0.4846045655311694,0.534120274907051,-0.21307741950564796,False
Rhizorhapis,0.4884719581987892,0.5374825225665607,2.165231552112667,False
Polaromonas,0.5059158779141659,0.5557473249875146,6.581806003046012,False
Oxalophagus,0.5124255390386638,0.5619600078124013,6.292425400308176,False
Blastopirellula,0.5243426739431052,0.5731187366354871,-0.015308942898063,False
Rathayibacter,0.5240940504618516,0.5731187366354871,6.540318854319327,False
Piscinibacter,0.5276661033240033,0.5757948523834066,8.059180623061101,False
Ochrobactrum,0.5332849518978868,0.5809627456106118,-3.8834058858867535,False
Minicystis,0.5497864243726152,0.5972222817408539,5.637924968128005,False
Seinonella,0.55002538409568,0.5972222817408539,7.007970790027622,False
Hassallia,0.5523890232687476,0.5988006215994003,6.049606922027872,False
Tardiphaga,0.5571916697261146,0.603013353091749,7.955482758005953,False
Haloactinopolyspora,0.5762190091668136,0.6225814581802354,6.049662206981429,False
